prompt,completion,
去骨雞腿、柳橙,"火烤雞腿佐香橙醬汁
 食材：去骨雞腿，柳橙
 調味料：A.白酒，百里香，醬油，鹽，黑胡椒粗粉，B.橄欖油，低筋麵粉，細砂糖，C.玉米粉，水
 作法：1.雞腿洗淨後瀝乾水份備用。2.將作法1的雞腿以調味料A抹勻，並放置醃漬約10分鐘備用。3.取作法2醃好的雞腿，將其表面均勻沾裹上一層低筋麵粉備用。4.取一平底鍋，倒入橄欖油，以中小火加熱，再放入作法3沾好粉的雞腿肉，將其煎至表面呈金黃色盛盤。5.將作法4煎好的雞腿瀝掉多餘的油分，再放入烤箱以180℃烤約6分鐘備用。6.柳橙洗淨後榨成汁備用。7.取一平底鍋，將作法6榨好的柳橙汁倒入鍋中，加入細砂糖後煮開。8.於作法7的鍋中加入調勻的調味料C，加以芶芡後即成香橙醬汁備用。9.將作法5烤好的雞腿取出，切成片盛盤，淋上作法8的香橙醬汁即可。",
火雞胸肉、薑片、蔥段、水、米酒、雞油、蒜片、紅蔥末,"火雞肉飯
 食材：火雞胸肉，薑片，蔥段，水，米酒，雞油，蒜片，紅蔥末
 調味料：鹽，雞粉，胡椒粉
 作法：1.火雞胸肉洗淨、瀝乾，放入鍋中，再加入薑片、蔥段、水、米酒煮滾，轉小火蓋上鍋蓋，煮約40分鐘（中途需翻面）後熄火，待涼後取出火雞胸肉（保留鍋中湯汁）。2.將作法1的火雞胸肉先撥下大片肉，再切絲，此即為火雞肉絲。3.熱鍋，放入雞油，以小火爆香蒜片、紅蔥末，爆炒至呈金黃色為蒜酥、紅蔥酥，再撈出瀝油備用。4.取作法1中400㏄的湯汁，加入全部調味料煮滾，即為雞汁備用。5.火雞肉飯的組合是盛碗白飯，先鋪上適量作法2的火雞肉絲，再撒上適量作法3的蒜酥、紅蔥酥，最後淋上適量作法4的雞汁即完成！",
烏骨雞肉塊、牛蒡、紅棗、薑片、水,"牛蒡烏骨雞
 食材：烏骨雞肉塊，牛蒡，紅棗，薑片，水
 調味料：鹽，米酒
 作法：1.將烏骨雞肉塊洗淨，放入滾水中汆燙一下，撈出後放至湯鍋中。2.牛蒡洗淨，刮去外皮後切斜片；紅棗洗淨備用。3.在作法1的鍋中放入作法2的牛蒡片、紅棗、薑片、水和米酒，煮至滾沸後，改轉小火燉煮約50分鐘。4.最後再加入鹽調味燉煮至入味即可。",
牛蒡茶包、紅棗、棒棒雞腿、水,"牛蒡雞湯
 食材：牛蒡茶包，紅棗，棒棒雞腿，水
 調味料：鹽
 作法：1.紅棗洗淨備用。2.棒棒雞腿用熱開水洗淨瀝乾備用。3.取一內鍋放入棒棒雞、紅棗、牛蒡茶包及水。4.將內鍋放入電鍋，外鍋放2杯水（份量外），蓋鍋蓋後按下開關，待開關跳起後加鹽調味即可。",
土雞、仙草乾、紅棗、枸杞、水,"仙草土雞湯
 食材：土雞，仙草乾，紅棗，枸杞，水
 調味料：鹽
 作法：1.仙草乾以剪刀剪小段，以冷水沖洗去除雜質，備用。2.取一湯鍋，放入作法1的仙草乾、水4000cc以大火煮至沸騰，蓋上鍋蓋，轉小火續煮約2小時，至鍋中湯汁剩約一半的量。3.將作法2中的仙草撈出，將湯汁過濾，備用。4.土雞洗淨，放入沸水中汆燙去除血水，撈起以冷水洗淨，備用。5.取一砂鍋，放入作法3的湯汁與作法4的土雞，以小火煮約30分鐘。6.將枸杞、紅棗放入作法5的砂鍋中，續煮30分鐘，起鍋前加鹽調味即可。",
土雞、仙草乾、紅棗、枸杞,"仙草雞
 食材：土雞，仙草乾，紅棗，枸杞
 調味料：鹽
 作法：1.將土雞洗淨、去除內臟，放入陶盅裡。紅棗洗淨，用刀子在每一粒紅棗邊緣稍微切開，也放入陶盅裡。2.仙草洗淨，放入鍋子裡，加入跟仙草同高的水量，煮約30鐘，仙草的味道都釋放出來後，把仙草渣濾掉，留下仙草汁備用。3.將仙草汁、枸杞也放入陶盅裡，一起燉煮約1~2個小時，等雞肉完全熟透並入味，最後再加入調味料即可上桌食用。",
仙草乾、雞肉塊、水,"仙草雞
 食材：仙草乾，雞肉塊，水
 作法：1.仙草乾洗淨；雞肉塊洗淨，汆燙去血水備用。2.將仙草乾與水一同置入鍋中，先以大火煮至沸騰，再轉小火煮1小時，過濾後再加入雞肉塊，續煮20分鐘即可",
雞肉塊、仙草、薑片、水,"仙草雞湯
 食材：雞肉塊，仙草，薑片，水
 調味料：鹽，細糖，米酒
 作法：1.雞肉塊放入沸水中汆燙去血水；仙草稍微清洗，修剪適當長度包入藥包帶中，備用。2.將所有材料與米酒放入電鍋內鍋，外鍋加一杯水，蓋上鍋蓋，按下開關，待開關跳起，續燜30分鐘後，加入其餘調味料即可。",
綠竹筍、雞腿、醃冬瓜、香菇、竹笙,"冬瓜竹筍雞
 食材：綠竹筍，雞腿，醃冬瓜，香菇，竹笙
 調味料：鹽，米酒
 作法：1.雞腿洗淨切塊，香菇泡軟切塊，竹筍去殼切塊備用。2.起油鍋，將雞腿爆炒一下，至表面熟即可。3.燒開1鍋水，投入竹筍、醃冬瓜與炒好的雞塊，等湯煮開後，將湯面的雜質去除，轉小火燜煮20分鐘左右。4.竹笙用水泡約15分鐘，將水瀝掉，再用水加少許米酒泡一下，即可瀝乾切段。5.將處理過的竹笙切段投入熬好的竹筍雞湯，繼續煮10分鐘即可上桌。",
醃冬筍、土雞、薑、乾香菇、紅蘿蔔,"冬筍土雞湯
 食材：醃冬筍，土雞，薑，乾香菇，紅蘿蔔
 調味料：雞粉，米酒，鹽，白胡椒粉，香油
 作法：1.土雞洗淨，放入滾水中汆燙過水備用。2.將醃冬筍切成段狀；薑、紅蘿蔔切片；乾香菇泡水至軟去蒂頭備用。3.取一個湯盅，將作法1、2的所有材料和調味料依序放入。4.在湯盅上包覆上保鮮膜，再放入蒸籠內以中大火蒸約1小時即可。",
烏骨雞、薑片、保鮮膜、紅棗、白芍、青耆、淮山、桂皮、當歸、枸杞、故紙,"加味四物雞
 食材：烏骨雞，薑片，保鮮膜，紅棗，白芍，青耆，淮山，桂皮，當歸，枸杞，故紙
 調味料：鹽，米酒
 作法：1.將烏骨雞用滾水汆燙約5分鐘至皮縮肉緊後，立刻過冷水沖洗，並仔細去除皮上的雜毛後備用。2.將所有藥材用清水略為沖洗，再浸泡水中約10分鐘後撈起瀝乾水分備用。1.把作法2的藥材與薑片一起塞入雞的屁股內，再放入砂鍋中，倒入4碗水、鹽及料理米酒，在鍋口封上保鮮膜，放入蒸籠內用大火蒸90分鐘即可。",
棒棒腿,"卡拉雞腿
 食材：棒棒腿
 調味料：a.牛奶，鹽，蒜泥，蛋液，b.麟片炸雞粉
 作法：1.棒棒腿洗淨瀝乾後備用。2.將材料B中的牛奶、蒜泥、蛋液混合備用。3.將作法1的棒棒腿撒上鹽，再沾裹上作法2的材料備用。4.再將作法3的棒棒腿均勻沾裹上脆皮鱗片炸雞粉備用。5.熱鍋，放入適量的油，將油溫燒熱至約150℃，放入作法4的棒棒腿，以中火炸至表皮成金黃酥脆狀，再撈起瀝乾油脂即可。",
雞翅、中筋麵粉、地瓜粉,"古早味炸雞翅
 食材：雞翅，中筋麵粉，地瓜粉
 調味料：蒜頭，鹽，糖，五香粉，米酒，胡椒粉，醬油，香油，雞蛋
 作法：1.把雞翅帶尖刺的部分用剪刀先減除，所有醃料混合醃漬雞翅10-15分鐘。2.中筋麵粉、地瓜粉加入混合，均勻拌勻。3.準備140度的油鍋，雞翅依序放入鍋中，用小火炸約12分鐘，再轉大火逼油，雞翅顏色金黃即可起鍋。",
雞腿、馬鈴薯、紅蘿蔔、蒜末、市售高湯、太白粉水,"台式咖哩雞
 食材：雞腿，馬鈴薯，紅蘿蔔，蒜末，市售高湯，太白粉水
 調味料：咖哩粉，鹽，糖
 作法：1.雞腿洗淨切成小塊狀：馬鈴薯、紅蘿蔔削去外皮切成丁，備用。2.熱鍋，倒入適量沙拉油，放入蒜末、咖哩粉以小火炒香後，加入作法1的雞腿肉塊拌炒3分鐘。3.續於作法2鍋中加入作法1的馬鈴薯丁、紅蘿蔔丁、市售高湯、鹽及糖煮約十分鐘，最後用太白粉水勺芡即可。",
棒棒雞、蒜頭、薑、青蔥、辣椒,"台式滷雞腿
 食材：棒棒雞，蒜頭，薑，青蔥，辣椒
 調味料：醬油，雞粉，細砂糖，鹽，白胡椒，市售滷味包，水
 作法：1.將蒜頭、薑拍扁；青?切大段備用。2.起一個炒鍋加入一大匙沙拉油，再加入作法1的所有材料以中火爆香。3.雞腿洗淨放入作法2的炒鍋中，再加入所有的調味料和辣椒，以小火煮約20分鐘即可。",
大雞腿、薑、蔥油醬,"台式蔥油雞
 食材：大雞腿，薑，蔥油醬
 作法：1.將薑切片，和雞腿洗淨一起放入滾水中煮約10分鐘，再燜約20分鐘取出放涼備用。2.再將作法1放冷的雞腿剁成小片狀，再搭配蔥油醬食用即可。",
四季豆、紅蘿蔔、雞丁、蒜末,"四季豆炒雞丁
 食材：四季豆，紅蘿蔔，雞丁，蒜末
 調味料：鹽，雞粉，香油，白胡椒粉
 醃料：鹽，米酒，太白粉
 作法：1.四季豆汆燙後切丁；紅蘿蔔去皮切丁後汆燙，備用。2.雞丁加入所有醃料醃10分鐘備用。3.熱鍋，倒入適量的油，放入蒜末爆香，再加入雞丁炒至變白。4.加入作法1的紅蘿蔔丁、四季豆及所有調味料炒勻即可。",
蛋餅皮、雞胸肉、豆芽菜、起司絲、紅羅蔔、豆苗、奶油、沙拉油,"奶油雞肉捲
 食材：蛋餅皮，雞胸肉，豆芽菜，起司絲，紅羅蔔，豆苗，奶油，沙拉油
 調味料：白醬
 醃料：水，米酒，白胡椒，鹽，白糖，香油，太白粉
 作法：1.將全部醃料材料混合拌勻備用。2.雞胸肉洗淨切條後，再放入作法1的醃料中拌勻浸泡20分鐘。3.將作法2的雞肉條取出，放入滾水中燙熟後，再撈起放涼備用。4.熱鍋放入些許奶油，開小火待奶油融化後先放入蒜末爆香，再放入作法3的雞肉條炒香備用。5.將豆芽菜燙熟，瀝乾放涼備用；紅羅蔔洗淨瀝乾切絲；豆苗洗淨瀝乾備用。6.將烤箱預熱180℃，放入鋁箔紙，在紙上依序放上作法4的豆芽菜、作法3的雞條、作法4的紅羅蔔絲、豌豆嬰，並依個人喜好淋上適量的白醬，均勻撒上起司絲放入烤箱烤8分鐘，烤至起司絲溶化，邊邊焦黃即可取出。7.取鍋，開小火用廚房紙巾沾少許沙拉油抹在鍋內後，放入市售蛋餅皮，將兩面餅皮煎熟至呈金黃色取出備用。8.取作法7的在餅皮攤平，在餅皮中間偏下方處放上已處理好的作法6的材料，並將餅皮捲起即可。",
雞肉丁、洋蔥丁、白飯、起司絲、生香菇塊、甜豆、小紅蘿蔔,"奶油雞肉焗飯
 食材：雞肉丁，洋蔥丁，白飯，起司絲，生香菇塊，甜豆，小紅蘿蔔
 調味料：奶油白醬
 作法：1.甜豆和小紅蘿蔔洗淨瀝乾，放入滾水中汆燙至熟後撈起瀝乾備用。2.取平底鍋，加入少許奶油，放入雞肉丁、洋蔥丁、生香菇塊炒香，加入奶油白醬、白飯和作法1材料拌勻，撒上起司絲。3.放入預熱烤箱中，以上火250℃下火150℃烤約10分鐘烤至表面呈金黃色澤即可。",
雞腿肉、蘑菇、玉米筍、小黃瓜、洋蔥碎、奶油、百里香、高湯、鮮奶油、白飯、起司絲、沙拉油,"奶油雞肉焗飯
 食材：雞腿肉，蘑菇，玉米筍，小黃瓜，洋蔥碎，奶油，百里香，高湯，鮮奶油，白飯，起司絲，沙拉油
 調味料：鹽，胡椒粉
 醃料：白酒，鹽，黑胡椒粉
 作法：1.雞腿肉整塊以醃料醃漬。取一鍋放入沙拉油燒熱，放入雞腿煎至表皮酥脆，切成小塊狀備用。2.蘑菇、玉米筍、小黃瓜切成小塊備用。3.作法1鍋中加入奶油燒融，續放入洋蔥碎炒香、做法2的材料拌炒，再放百里香、高湯與鮮奶油燉煮。4.最後加入白飯拌炒，以鹽、胡椒粉調味，加入做法1的雞肉塊炒勻後盛入焗皿，撒上起司絲，放入烤箱焗烤至表面融化即可。",
雞腿肉、洋蔥末、蒜末、義大利米、動物性鮮奶油,"奶油雞肉燉飯
 食材：雞腿肉，洋蔥末，蒜末，義大利米，動物性鮮奶油
 調味料：無鹽奶油，義大利綜合香料，起司塊，雞肉高湯
 醃料：迷迭香末，白酒，鹽
 作法：1.將雞腿肉切塊，以迷迭香末、白酒與鹽拌勻，略醃15分鐘備用。2.平底鍋放入無鹽奶油，以中火炒香蒜末與洋蔥末，再加入作法1醃過雞腿肉，以中火炒至金黃色。3.將義大利綜合香料、義大利米、雞肉高湯加入作法2中，以小火炒至雞腿肉熟。4.將動物性鮮奶油與起司塊加入作法3中，以小火炒至湯汁略收乾即盛盤，最後擺上一支迷迭香葉作為擺飾即可。",
去骨雞腿肉、洋蔥、紅辣椒、蒜末,"左公雞
 食材：去骨雞腿肉，洋蔥，紅辣椒，蒜末
 調味料：醬油，蕃茄醬，白醋，辣椒醬，糖
 醃料：醬油，水，太白粉，紹興酒，糖
 作法：1.去骨雞腿雞肉洗淨剁成約3x2公分大小塊狀，放入醃料醃約15分鐘備用。2.洋蔥去皮切片；蔥洗淨切段；辣椒切片；所有調味料和水混合，備用。3.熱一鍋，加入適量的油加熱至約160℃，放入作法1的雞腿塊以大火炸至雞肉略呈金黃色撈出。4.將作法3的鍋中留少許油，放入蒜末、作法2的辣椒片、洋蔥片炒香，倒入作法2的調味汁，再放入作法3的雞腿塊炒約3分鐘即可。",
去骨雞腿肉、紅辣椒、蒜末、太白粉、醬油、米酒、蛋液、白砂糖、蕃茄醬、白醋、水,"左宗棠雞
 食材：去骨雞腿肉，紅辣椒，蒜末，太白粉，醬油，米酒，蛋液，白砂糖，蕃茄醬，白醋，水
 作法：1.去骨雞腿肉切成2公分小塊，以調味料A醃約5分鐘後，加入15㏄沙拉油拌勻。2.調味料B調成粉漿，加入蒜末拌勻；辣椒剖半切成4段備用。3.鍋燒熱，倒入約2小碗的沙拉油，放入作法1的雞肉塊以小火慢炸約5分熟撈起瀝乾油脂。4.另取熱鍋加入5㏄沙拉油，以小火略為爆炒作法1.的紅辣椒段後，再加入作法3的雞腿肉炒至熟後，改以中火加熱，倒入做法2的粉漿快速拌炒至勻即可。",
雞腿肉、紅辣椒、薑末、蒜末,"左宗棠雞
 食材：雞腿肉，紅辣椒，薑末，蒜末
 調味料：醬油，米酒，鎮江醋，番茄醬，糖，水，香油，辣油，太白粉水
 醃料：醬油，香油，米酒，胡椒粉，太白粉
 作法：1.雞腿肉去骨剁成塊狀加醃料醃10分鐘，用160℃油溫小火炸熟，起鍋前轉大火逼油，撈起備用。2.將紅辣椒剖對半去籽，用140℃油溫炸乾，備用。3.取一鍋放入薑末、蒜末爆香，再加入作法1的雞腿肉、作法2的紅辣椒拌炒均勻，再放入所有調味料炒香即可。",
白飯、雞胸肉、玉米粒、芹菜末、高湯,"玉米雞蓉粥
 食材：白飯，雞胸肉，玉米粒，芹菜末，高湯
 調味料：鹽，鮮雞粉，白胡椒粉
 醃料：鹽，太白粉，蛋白
 作法：1.雞胸肉洗淨瀝乾水分，以刀剁碎後放入大碗中，加入所有醃料拌勻並醃約5分鐘備用。2.湯鍋中倒入高湯以中火煮至滾開，放入白飯和玉米粒改小火拌煮至略濃稠，加入作法1拌勻續煮至熟透，再加入所有調味料調味，最後加入芹菜末煮勻即可。",
花瓜、雞腿塊、乾香菇,"瓜仔香菇雞湯
 食材：花瓜，雞腿塊，乾香菇
 調味料：醬油，水
 作法：1.乾香菇洗淨，泡入水中至軟；雞腿塊洗淨備用。2.取鍋，放入市售花瓜、雞腿塊、泡開的乾香菇和調味料，放入電鍋內，外鍋加入3杯水，按下電鍋開關至煮好開關跳起即可。",
土雞肉、罐頭花瓜、罐頭花瓜汁、蒜仁、水,"瓜仔雞湯
 食材：土雞肉，罐頭花瓜，罐頭花瓜汁，蒜仁，水
 調味料：鹽，雞粉
 作法：1.土雞肉剁小塊，放入滾水中汆燙去髒，再撈出用冷水沖涼洗淨，放入湯鍋中。2.續加入罐頭花瓜與罐頭花瓜汁、蒜仁、水，以中火煮至滾沸。3.待作法2的雞湯滾沸後撈去浮沫，再轉微火，不蓋鍋蓋煮約30分鐘，關火後加入所有調味料調味即可。",
雞翅、薑、青蔥、花瓜、醃花瓜湯汁,"瓜仔雞湯
 食材：雞翅，薑，青蔥，花瓜，醃花瓜湯汁
 調味料：鹽，雞粉，米酒
 作法：1.雞翅洗淨後切塊、入滾鍋中汆燙去血水，備用。2.薑洗淨、切片；青蔥洗淨、切段；花瓜切條狀，備用。3.取一湯鍋，加水850㏄煮滾後，加入醃花瓜湯汁、薑片、蔥段、作法1的雞翅塊，以小火煮約30分鐘。4.將花瓜條與所有調味料加入作法3中，再煮約5分鐘即可。",
雞肉、芹菜、油條、馬蹄、紅蘿蔔、西生菜、乾冬粉、蒜末、薑末,"生菜雞鬆
 食材：雞肉，芹菜，油條，馬蹄，紅蘿蔔，西生菜，乾冬粉，蒜末，薑末
 調味料：鹽，白胡椒粉，米酒，香油
 作法：1.將雞肉、芹菜、油條、馬蹄、紅蘿蔔分別用刀子切成丁狀備用。2.將西生菜的菜心切除後，泡入冷水中5分鐘，並在水中將菜葉整葉剝下來，再修整成圓片狀備用。3.將乾冬粉放入190℃的油鍋中，以大火炸約10秒鐘，待冬粉呈現出蓬鬆狀後，即可撈出瀝乾油分裝入盤中。4.把油條丁放入180℃的油鍋中，以中火回炸30秒鐘後撈起瀝乾油分備用。5.在鍋中加入沙拉油，以小火爆香蒜末、薑末，再放入雞肉、芹菜、馬蹄、紅蘿蔔後，隨即轉中火炒約2分鐘。6.待作5法鍋中水份收乾時，放入所有的調味料拌炒均勻，再加入作法3的油條一起拌勻即可起鍋。7.食用的時候，用西生菜葉包入炒好的雞鬆，舖於盤中即可上桌了。",
